"Run Fondo";"run_fondo_largo";"nombre_fondo";"nombre_fm_corto";"vigencia";"estado";"tipo_fondo";"rut_adm";"razon_social_adm";"fecha_deposito";"fecha_ult_modificacion";"fecha_inicio_operaciones";"n_resolucion";"fecha_cumplimiento";"fecha_termino";"numero_registro"
"8252";"8252-K";FONDO MUTUO PRINCIPAL LIFETIME 2030;LIFETIME 2030;Vigente;;"4-FM MIXTO";"91999000-7";PRINCIPAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-08;2022-11-15;2002-10-21;Res. 407 (21/10/2002);2002-11-14;;FM110277
"8413";"8413-1";FONDO MUTUO SCOTIA ACTIVO;SCOTIA ACTIVO;No Vigente;;"6-FM DE LIBRE INVERSION";"96634320-6";SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2015-02-25;2016-07-14;2006-04-11;Res. 82 (11/04/2006);2006-04-12;2021-04-17;FM110069
"8435";"8435-2";FONDO MUTUO SECURITY RETORNO ESTRATEGICO;RETORNO ESTRATEGICO;Vigente;;"6-FM DE LIBRE INVERSION";"96639280-0";ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2020-04-07;2021-06-25;2006-06-04;Res. 546 (04/06/2006);2006-06-04;;FM110466
"8448";"8448-4";FONDO MUTUO BANCHILE PORTAFOLIO AGRESIVO LARGO PLAZO;FM BCH P Agresivo LP;Vigente;;"6-FM DE LIBRE INVERSION";"96767630-6";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-11;2023-10-03;2006-09-05;Res. 358 (05/09/2006);2006-10-13;;FM110170
"8492";"8492-1";FONDO MUTUO SECURITY CRECIMIENTO ESTRATEGICO;CRECIMIENTO;Vigente;;"6-FM DE LIBRE INVERSION";"96639280-0";ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2020-03-11;2021-06-29;2007-01-02;Res. 609 (02/01/2007);2007-01-02;;FM110471
"8555";"8555-3";FONDO MUTUO BANCHILE PORTAFOLIO ACTIVO AGRESIVO;ACTIVO AGRESIVO;No Vigente;;"6-FM DE LIBRE INVERSION";"96767630-6";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-04-16;2022-11-11;2007-12-09;Res. 107 (09/12/2007);2007-12-09;2023-11-01;FM110221
"8577";"8577-4";FONDO MUTUO SANTANDER A;SANTANDER A;Vigente;;"6-FM DE LIBRE INVERSION";"96667040-1";SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-04-12;2022-03-24;2008-05-13;Res. 59 (13/05/2008);2008-07-28;;FM110381
"8600";"8600-2";FONDO MUTUO PRINCIPAL LIFETIME 2040;LIFETIME 2040;Vigente;;"4-FM MIXTO";"91999000-7";PRINCIPAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-08;2022-11-15;2008-04-18;Res. 171 (18/04/2008);2008-06-02;;FM110278
"8640";"8640-1";FONDO MUTUO BCI CARTERA DINAMICA ACTIVA;FM BCI C D ACTIVA;Vigente;;"6-FM DE LIBRE INVERSION";"96530900-4";BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-06-22;2021-01-18;2009-03-13;Res. 460 (13/03/2009);2009-03-20;;FM110443
"8694";"8694-0";FONDO MUTUO ZURICH PROYECCIÓN A;PROYECCION A;Vigente;;"6-FM DE LIBRE INVERSION";"77750920-9";ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-12-14;2023-03-10;2009-04-21;Res. 138 (21/04/2009);2009-05-13;;FM110059
"8740";"8740-8";FONDO MUTUO SCOTIA PORTAFOLIO MAS ARRIESGADO;MAS ARRIESGADO;Vigente;;"6-FM DE LIBRE INVERSION";"96634320-6";SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2018-12-10;2021-03-19;2009-08-05;Res. 55 (05/08/2009);2009-08-05;;FM110115
"8775";"8775-0";FONDO MUTUO SURA ESTRATEGIA ACTIVA;ESTRATEGIA ACTIVA;Vigente;;"6-FM DE LIBRE INVERSION";"76036521-1";ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2023-02-22;2023-09-29;2010-03-01;Res. 28 (01/03/2010);2010-06-30;;FM110519
"8785";"8785-8";FONDO MUTUO BICE ESTRATEGIA MÁS AGRESIVA;BICE EST MÁS AGRESIV;Vigente;;"6-FM DE LIBRE INVERSION";"96514410-2";BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-16;2023-04-18;2010-04-05;Res. 183 (05/04/2010);2010-04-07;;FM110344
