"fecha";"Run Fondo";"serie";"periodo";"rentabilidades_acumuladas"
2023-01-31;"8577";APV;"1M";0.003068123556589475
2023-01-31;"8577";APV;"3M";0.0002847325393165
2023-01-31;"8577";APV;"6M";-0.040639864464042885
2023-01-31;"8577";APV;"1Y";-0.050406599880504444
2023-01-31;"8577";APV;YTD;0.003053077226618406
2023-01-31;"8640";APV;"1M";0.012447512018359808
2023-01-31;"8640";APV;"3M";0.012275921627439734
2023-01-31;"8640";APV;"6M";-0.05028288758583943
2023-01-31;"8640";APV;"1Y";-0.06246688352756469
2023-01-31;"8640";APV;YTD;0.012443089070364843
2023-01-31;"8740";APV;"1M";0.013159222861292674
2023-01-31;"8740";APV;"3M";0.0009706810742285
2023-01-31;"8740";APV;"6M";-0.03871623034502969
2023-01-31;"8740";APV;"1Y";-0.01342434104716439
2023-01-31;"8740";APV;YTD;0.013207752548133778
2023-01-31;"8785";APV;"1M";0.007641553297019987
2023-01-31;"8785";APV;"3M";-0.03572785328410266
2023-01-31;"8785";APV;"6M";-0.07263874767303469
2023-01-31;"8785";APV;"1Y";-0.05385739660591227
2023-01-31;"8785";APV;YTD;0.007664674055982479
2023-01-31;"8844";APV;"1M";0.004398395484740192
2023-01-31;"8844";APV;"3M";-0.017123843877317912
2023-01-31;"8844";APV;"6M";-0.047596399825733715
2023-01-31;"8844";APV;"1Y";-0.02290918679078724
2023-01-31;"8844";APV;YTD;0.004440186824262282
2023-01-31;"8908";APV;"1M";-0.0002468731410185
2023-01-31;"8908";APV;"3M";-0.028525187759826376
2023-01-31;"8908";APV;"6M";-0.05701695201811763
2023-01-31;"8908";APV;"1Y";-0.03407114558013413
2023-01-31;"8908";APV;YTD;-0.0002010211657565
2023-01-31;"8993";APV;"1M";-0.005095332080354509
2023-01-31;"8993";APV;"3M";-0.04490144317428624
2023-01-31;"8993";APV;"6M";-0.09216504013433069
2023-01-31;"8993";APV;"1Y";-0.08561855013579234
2023-01-31;"8993";APV;YTD;-0.005149536672521937
2023-01-31;"9060";APV;"1M";0.004172704284777673
2023-01-31;"9060";APV;"3M";-0.02572122109338193
2023-01-31;"9060";APV;"6M";-0.06043091221696062
2023-01-31;"9060";APV;"1Y";-0.020553807357583942
2023-01-31;"9060";APV;YTD;0.004199834487315091
2023-01-31;"9193";APV;"1M";0.014862655146737236
2023-01-31;"9193";APV;"3M";-0.001711264588855732
2023-01-31;"9193";APV;"6M";-0.03525580272231854
2023-01-31;"9193";APV;"1Y";-0.021857889009204157
2023-01-31;"9193";APV;YTD;0.014825558135104
2023-01-31;"9428";APV;"1M";0.014208013564915634
2023-01-31;"9428";APV;"3M";-0.0038336521391236777
2023-01-31;"9428";APV;"6M";-0.039579055011189856
2023-01-31;"9428";APV;"1Y";-0.027230613006773208
2023-01-31;"9428";APV;YTD;0.014160681426267363
2023-01-31;"9511";APV;"1M";0.00600719780038772
2023-01-31;"9511";APV;"3M";0.04018201170501712
2023-01-31;"9511";APV;"6M";0.035818050537161694
2023-01-31;"9511";APV;"1Y";0.18810720781199142
2023-01-31;"9511";APV;YTD;0.006158018386279496
2023-01-31;"9648";APV;"1M";-0.0017703844431060656
2023-01-31;"9648";APV;"3M";-0.022820355088133515
2023-01-31;"9648";APV;"6M";-0.05795568928200601
2023-01-31;"9648";APV;"1Y";-0.03587462744190695
2023-01-31;"9648";APV;YTD;-0.0017098637878285583
2023-01-31;"9873";APV;"1M";0.009927520920814947
2023-01-31;"9873";APV;"3M";-0.02815944913901658
2023-01-31;"9873";APV;"6M";-0.06534380484479196
2023-01-31;"9873";APV;"1Y";-0.06400861026006133
2023-01-31;"9873";APV;YTD;0.009907183839101386
2023-02-01;"8577";APV;"1M";-0.004628211223440704
2023-02-01;"8577";APV;"3M";-0.007394545000573238
2023-02-01;"8577";APV;"6M";-0.04003199237606714
2023-02-01;"8577";APV;"1Y";-0.06202337642575673
2023-02-01;"8577";APV;YTD;-0.004657999798010515
2023-02-01;"8640";APV;"1M";0.005898074354617311
2023-02-01;"8640";APV;"3M";0.005726184193218797
2023-02-01;"8640";APV;"6M";-0.04660661053862325
2023-02-01;"8640";APV;"1Y";-0.07319653458564235
2023-02-01;"8640";APV;YTD;0.005889327137986289
2023-02-01;"8740";APV;"1M";0.008287853120292787
2023-02-01;"8740";APV;"3M";-0.003837649898175366
2023-02-01;"8740";APV;"6M";-0.033012363613763474
2023-02-01;"8740";APV;"1Y";-0.023667451130769845
2023-02-01;"8740";APV;YTD;0.008384575477542011
2023-02-01;"8785";APV;"1M";0.001107694295075845
2023-02-01;"8785";APV;"3M";-0.04199161018237629
2023-02-01;"8785";APV;"6M";-0.06937028621328611
2023-02-01;"8785";APV;"1Y";-0.06360391954312394
2023-02-01;"8785";APV;YTD;0.0011536753023431157
2023-02-01;"8844";APV;"1M";-0.0010379468967431915
2023-02-01;"8844";APV;"3M";-0.02241418995621025
2023-02-01;"8844";APV;"6M";-0.04272842914906272
2023-02-01;"8844";APV;"1Y";-0.03197366154656767
2023-02-01;"8844";APV;YTD;-0.0009547022649291
2023-02-01;"8908";APV;"1M";-0.007738526716960403
2023-02-01;"8908";APV;"3M";-0.03579993438785367
2023-02-01;"8908";APV;"6M";-0.05942622731898273
2023-02-01;"8908";APV;"1Y";-0.04770793091723857
2023-02-01;"8908";APV;YTD;-0.0076474328174594985
2023-02-01;"8993";APV;"1M";-0.013429780989326123
2023-02-01;"8993";APV;"3M";-0.05290703098570937
2023-02-01;"8993";APV;"6M";-0.08894144140560745
2023-02-01;"8993";APV;"1Y";-0.09767675047621338
2023-02-01;"8993";APV;YTD;-0.013530642871083187
2023-02-01;"9060";APV;"1M";-0.0031040769906877097
2023-02-01;"9060";APV;"3M";-0.03278548709697737
2023-02-01;"9060";APV;"6M";-0.06108621205960074
2023-02-01;"9060";APV;"1Y";-0.03418407864015616
2023-02-01;"9060";APV;YTD;-0.003049954732950999
2023-02-01;"9193";APV;"1M";0.010211933474228552
2023-02-01;"9193";APV;"3M";-0.00628318940507111
2023-02-01;"9193";APV;"6M";-0.028802943056184693
2023-02-01;"9193";APV;"1Y";-0.030173147516665444
2023-02-01;"9193";APV;YTD;0.01014193207454217
2023-02-01;"9428";APV;"1M";0.009554111936817433
2023-02-01;"9428";APV;"3M";-0.008402970130185428
2023-02-01;"9428";APV;"6M";-0.03328743084864272
2023-02-01;"9428";APV;"1Y";-0.035496849100719374
2023-02-01;"9428";APV;YTD;0.009461750397270041
2023-02-01;"9511";APV;"1M";0.003689561428839694
2023-02-01;"9511";APV;"3M";0.03778361066460878
2023-02-01;"9511";APV;"6M";0.03366156616824978
