"Run Fondo";"serie";"caracteristica";"fecha_inicio";"fecha_termino";"valor_cuota_inicial";"continuadora_serie"
"8252";D;APV;2003-08-13;2008-10-06;1000.0;
"8252";APVC1;APV;2008-10-06;2012-01-02;1000.0;
"8252";APVC2;APV;2008-10-06;2012-01-02;1000.0;
"8252";APVC3;APV;2008-10-06;2012-01-02;1000.0;
"8252";APVC4;APV;2008-10-06;2012-01-02;1000.0;
"8252";E;;2003-09-29;2012-12-31;1000.0;
"8252";F;;2003-09-29;2012-12-31;1000.0;
"8252";I;;2011-01-28;2012-12-31;1000.0;
"8252";M;;2013-01-01;2016-10-14;1000.0;I
"8252";A;;2002-10-21;2022-04-29;1000.0;
"8252";AC;;;2022-04-29;1000.0;
"8252";APVAC;APV;;2022-04-29;1000.0;
"8252";C;APV;2002-10-21;2022-04-29;1000.0;
"8252";I;;;2022-04-29;1000.0;
"8252";LP180;;2013-01-01;2022-04-29;1278.9466;F
"8252";LP3;;2013-01-01;2022-04-29;1425.8988;E
"8252";LPI;;2016-10-15;2022-04-29;1000.0;M
"8252";PLAN1;APV;2012-01-03;2022-04-29;1075.2582;APVC1
"8252";PLAN2;APV;2012-01-03;2022-04-29;1203.5368;APVC2
"8252";PLAN3;APV;2012-01-03;2022-04-29;1085.618;APVC3
"8252";PLAN4;APV;2012-01-03;2022-04-29;1086.3813;APVC4
"8252";B;APV;2002-10-21;;1000.0;
"8252";G;;2011-01-28;;1000.0;
"8252";GLB;;2022-04-30;;1000.0;A
"8252";H;APV;2022-04-30;;1000.0;C
"8252";I2;;2022-07-25;;1000.0;
"8252";INV;;2022-04-30;;1000.0;LP180
"8252";K;APV;2022-05-02;;1000.0;
"8252";O;;;;1000.0;
"8252";P;APV;2015-02-23;;1000.0;
"8252";PAT;;2022-04-30;;1000.0;LPI
"8413";UNICA;;2006-04-11;2011-12-10;1000.0;
"8413";B;APV;2011-12-11;2015-03-08;1000.0;
"8413";A;;2011-12-11;2021-04-17;1475.0;UNICA
"8413";APV;APV;2015-03-09;2021-04-17;1210.9544;B
"8413";F;;2015-03-10;2021-04-17;1000.0;
"8435";APVC1;APVC;2009-07-09;2015-10-02;1000.0;
"8435";APVC2;APVC;2009-07-09;2015-10-02;1000.0;
"8435";APVC3;APVC;2009-07-09;2015-10-02;1000.0;
"8435";APVC4;APVC;2009-07-09;2015-10-02;1000.0;
"8435";I;APV;2006-06-04;2015-10-02;1036.0712;
"8435";A;;2006-06-04;;1028.7187;
"8435";B;;2006-06-04;;1020.9043;
"8435";D;;2009-07-09;;1000.0;
"8435";G;;2016-06-22;;1000.0;
"8435";H;;2017-11-03;;1000.0;
"8435";I-APV;APV;2015-10-03;;1000.0;I
"8435";J;;2017-10-17;;1000.0;
"8435";S;;2018-04-27;;1000.0;
"8435";V;;2018-12-04;;1000.0;
"8448";UNICA;APV;2006-09-05;2010-07-08;1000.0;
"8448";"42COL";APV;2010-07-09;2011-12-16;1000.0;
"8448";"42IND";APV;2010-07-09;2011-12-16;1130.326;UNICA
"8448";BFCOL;APV;2010-07-09;2011-12-16;1000.0;
"8448";BFIND;APV;2010-07-09;2011-12-16;1000.0;
"8448";S;;2011-12-17;2014-10-23;1000.0;
"8448";C;;2014-10-24;2017-12-14;1000.0;
"8448";A;;2010-07-09;2020-02-13;1000.0;C
"8448";B;APV;2011-12-17;;1101.6199;"42IND"
"8448";BCH;;;;1000.0;
"8448";BPLUS;APV;2017-10-05;;2000.0;
"8448";L;;2020-02-14;;1366.7909;A
"8492";APVC1;APVC;2009-07-09;2015-10-02;1000.0;
"8492";APVC2;APVC;2009-07-09;2015-10-02;1000.0;
"8492";APVC3;APVC;2009-07-09;2015-10-02;1000.0;
"8492";APVC4;APVC;2009-07-09;2015-10-02;1000.0;
"8492";I;APV;2007-01-02;2015-10-02;1000.0;
"8492";A;;2007-01-02;;1000.0;
"8492";APV1;APV;;;1000.0;
"8492";B;;2007-01-02;;1000.0;
"8492";D;;2015-06-25;;1000.0;
"8492";G;;;;1000.0;
"8492";H;;2017-11-21;;1000.0;
"8492";I-APV;APV;2015-10-03;;1000.0;I
"8492";J;;2017-10-17;;1000.0;
"8492";S;;2018-04-27;;1000.0;
"8492";V;;;;1000.0;
"8555";S;;2011-12-19;2014-12-26;1000.0;
"8555";E;;2013-09-16;2017-09-21;1000.0;
"8555";C;;2007-12-09;2017-12-14;3000.0;
"8555";A;;2007-12-09;2020-02-13;523.3005;C
"8555";B;APV;2007-12-09;2023-11-01;523.3005;
"8555";BCH;;;2023-11-01;1000.0;
"8555";BPLUS;APV;2017-11-02;2023-11-01;2000.0;
"8555";L;;2020-02-14;2023-11-01;633.8355;A
"8577";G;;;2022-04-22;1000.0;
"8577";ALTO;;2018-07-04;;1000.0;
"8577";AM;;;;1000.0;
"8577";APV;APV;2008-05-13;;1000.0;
"8577";EJECU;;2008-05-13;;1000.0;
"8577";II;;2016-08-31;;1000.0;
"8577";III;;2016-12-02;;1000.0;
"8577";INVER;;2008-05-13;;1000.0;
"8577";SI;;;;1000.0;
"8577";UNIVE;;2008-05-13;;1000.0;
"8600";D;;2008-04-18;2008-10-06;1000.0;
"8600";APVC1;APV;2008-10-06;2012-01-02;1000.0;
"8600";APVC2;APV;2008-10-06;2012-01-02;1000.0;
"8600";APVC3;APV;2008-10-06;2012-01-02;1000.0;
"8600";APVC4;APV;2008-10-06;2012-01-02;1000.0;
"8600";E;;2008-04-18;2012-12-31;1000.0;
"8600";F;;2008-04-18;2012-12-31;1000.0;
"8600";I;;2011-01-28;2012-12-31;1000.0;
"8600";M;;2013-01-01;2016-10-14;1000.0;I
"8600";A;;2008-04-18;2022-04-29;1000.0;
"8600";AC;;;2022-04-29;1000.0;
"8600";APVAC;APV;;2022-04-29;1000.0;
"8600";C;APV;2008-04-18;2022-04-29;1000.0;
"8600";I;;;2022-04-29;1000.0;
"8600";LP180;;2013-01-01;2022-04-29;996.0801;F
"8600";LP3;;2013-01-01;2022-04-29;1047.7592;E
"8600";LPI;;2016-10-15;2022-04-29;1000.0;M
"8600";PLAN1;APV;2012-01-03;2022-04-29;1063.4724;APVC1
"8600";PLAN2;APV;2012-01-03;2022-04-29;1234.2756;APVC2
"8600";PLAN3;APV;2012-01-03;2022-04-29;1073.7195;APVC3
"8600";PLAN4;APV;2012-01-03;2022-04-29;1066.6314;APVC4
"8600";B;APV;2008-04-18;;1000.0;
"8600";G;;2011-01-28;;1000.0;
"8600";GLB;;2022-04-30;;1000.0;A
"8600";H;APV;2022-04-30;;1000.0;C
"8600";I2;;2022-07-25;;1000.0;
"8600";INV;;2022-04-30;;1000.0;LP180
"8600";K;APV;2022-05-02;;1000.0;
"8600";O;;;;1000.0;
"8600";P;APV;2015-02-23;;1000.0;
"8600";PAT;;2022-04-30;;1000.0;LPI
"8640";APVC;APVC;2009-09-11;2021-02-16;1000.0;
"8640";ALTOP;;2009-03-13;;1000.0;
"8640";APV;APV;2009-03-13;;1000.0;
"8640";BPRIV;;2012-01-10;;1000.0;
"8640";CLASI;;2009-03-13;;1000.0;
"8640";COLAB;;2021-02-19;;1000.0;
"8640";FAMIL;;2012-01-10;;1000.0;
"8694";B;APV;2009-04-21;2010-08-19;1000.0;
"8694";B-APV;APV;2010-08-20;2017-09-15;1264.102;B
"8694";H-APV;APV;2010-08-20;2017-09-15;1000.0;
"8694";I-APV;APV;2010-08-20;2017-09-15;1000.0;
"8694";EA-AM;;;2019-10-23;1000.0;NO
"8694";A;;2009-04-21;;1000.0;
"8694";ADC;;;;1000.0;
"8694";B-APV/APVC;APV-APVC;2017-09-16;;NaN;B-APV
"8694";COL -Z;;2023-03-24;;1000.0;
"8694";COL-Z APV/APVC;APV-APVC;2023-03-24;;1000.0;
"8694";CUI;;2018-10-27;;1000.0;NO
"8694";CUI PREFER;;;;1000.0;
"8694";D;;2009-05-28;;1000.0;
"8694";E;;;;1000.0;
"8694";EXT;;;;1000.0;
"8694";H-APV/APVC;APV-APVC;2017-09-16;;1529.0107;H-APV
"8694";I-APV/APVC;APV-APVC;2017-09-16;;1729.0655;I-APV
"8694";N;;;;1000.0;
"8694";P;;;;1000.0;
"8694";PRE-APV;APV;;;1000.0;
"8694";W;;2022-01-07;;1000.0;
"8694";W-APV;APV;2022-01-11;;1000.0;
"8694";Z;;2019-10-24;;1000.0;EA-AM
"8740";V;;2009-08-05;2012-06-25;781.6191;
"8740";A;;2009-08-05;2021-04-17;1000.0;
"8740";E;;2009-08-05;2021-04-17;1000.0;
"8740";GLOBA;;2009-08-05;2021-04-17;1000.0;
"8740";INVER;;2009-08-05;2021-04-17;1000.0;
"8740";PATRI;;2009-08-05;2021-04-17;1000.0;
"8740";PERSO;;2012-06-26;2021-04-17;781.6191;V
